converser,text,timestamp,conversation_num,chat_id,user_id,wizard_id,ts_date,date,day_week,sentiment
user,"I'd like to book a trip to Atlantis from Caprica on Saturday, August 13, 2016 for 8 adults. I have a tight budget of 1700.",1471272019,0,e2c0fc6c-2134-4891-8353-ef16d8412c9a,U22HTHYNP,U21DKG18C,15-08-2016 14:40,15-08-2016,Monday,0
wizard,"Hi...I checked a few options for you, and unfortunately, we do not currently have any trips that meet this criteria.  Would you like to book an alternate travel option?",1471272381,1,e2c0fc6c-2134-4891-8353-ef16d8412c9a,U22HTHYNP,U21DKG18C,15-08-2016 14:46,15-08-2016,Monday,0
user,"Yes, how about going to Neverland from Caprica on August 13, 2016 for 5 adults. For this trip, my budget would be 1900.",1471272508,2,e2c0fc6c-2134-4891-8353-ef16d8412c9a,U22HTHYNP,U21DKG18C,15-08-2016 14:48,15-08-2016,Monday,0
wizard,I checked the availability for this date and there were no trips available.  Would you like to select some alternate dates?,1471272800,3,e2c0fc6c-2134-4891-8353-ef16d8412c9a,U22HTHYNP,U21DKG18C,15-08-2016 14:53,15-08-2016,Monday,0
user,I have no flexibility for dates... but I can leave from Atlantis rather than Caprica. How about that?,1471272833,4,e2c0fc6c-2134-4891-8353-ef16d8412c9a,U22HTHYNP,U21DKG18C,15-08-2016 14:53,15-08-2016,Monday,0
wizard,I checked the availability for that date and there were no trips available.  Would you like to select some alternate dates?,1471273283,5,e2c0fc6c-2134-4891-8353-ef16d8412c9a,U22HTHYNP,U21DKG18C,15-08-2016 15:01,15-08-2016,Monday,0
user,I am not happy with your service. Thank you.,1471273458,6,e2c0fc6c-2134-4891-8353-ef16d8412c9a,U22HTHYNP,U21DKG18C,15-08-2016 15:04,15-08-2016,Monday,0
user,"Hello, I am looking to book a vacation from Gotham City to Mos Eisley for $2100.",1471271993,0,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:39,15-08-2016,Monday,1
wizard,"Hi. Sorry, I can't find any trips from Gotham City to Mos Eisley for you.",1471272267,1,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:44,15-08-2016,Monday,1
user,What about a trip from Gotham City to Neverland for the same budget?,1471272309,2,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:45,15-08-2016,Monday,1
wizard,"Sorry, I cannot find any trips leaving from Gotham City. Could you suggest another nearby departure city?",1471272359,3,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:45,15-08-2016,Monday,1
user,Would any packages to Mos Eisley be available if I increase my budget to $2500?,1471272429,4,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:47,15-08-2016,Monday,1
wizard,There are no trips available to Mos Eisley.,1471272474,5,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:47,15-08-2016,Monday,1
user,"You know what, I'd like to try and visit Neverland",1471272701,6,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:51,15-08-2016,Monday,1
wizard,I cannot find any trips available to Neverland.,1471272727,7,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:52,15-08-2016,Monday,1
user,Do you have any trips from Gotham City to Kobe for my original budget of $2100?,1471272782,8,4a3bfa39-2c22-42c8-8694-32b4e34415e9,U21E41CQP,U21DMV0KA,15-08-2016 14:53,15-08-2016,Monday,1
